Name,Country,Archipelago,Latitude,Longitude,Type,Military,Runway_1,Runway_2,Surface,Class
Beru Island airstrip,Kiribati,Gilbert Islands,-1.3541781,176.0060979,Unimproved,No,3000,0,Coral,Class_0
Enejit airstip,Marshall Islands,Marshall Islands,6.0404,171.9846,Unimproved,No,3000,0,Coral,Class_0
Arorae Island airstrip,Kiribati,Gilbert Islands,-2.6162482,176.8021043,Unimproved,No,3000,0,Grass,Class_0
Makin Island airstrip,Kiribati,Gilbert Islands,3.3744814,172.9920869,Unimproved,No,3000,0,Grass,Class_0
Tamana Island airstrip,Kiribati,Gilbert Islands,-2.4860979,175.9678113,Unimproved,No,3000,0,Grass,Class_0
Ebon Atoll airstrip,Marshall Islands,Marshall Islands,4.5983968,168.7522599,Unimproved,No,3000,0,Grass,Class_0
Berong airstrip,Philippines,Palawan Archipelago,9.477103,118.2109413,Unimproved,No,3000,0,Grass,Class_0
Tagbita airstrip,Philippines,Palawan Archipelago,8.715243673,117.3530318,Unimproved,No,3000,0,Grass,Class_0
Elenak airstrip,Marshall Islands,Marshall Islands,9.3758113,166.8505239,Unimproved,No,2950,0,Coral,Class_0
Abaiang Atoll airstrip,Kiribati,Gilbert Islands,1.7977935,173.0430126,Unimproved,No,2900,0,Coral,Class_0
Tabiteuea South airstrip,Kiribati,Gilbert Islands,-1.4746645,175.0653319,Unimproved,No,2900,0,Coral,Class_0
Mejit airstrip,Marshall Islands,Marshall Islands,10.2833333,170.869,Unimproved,No,2900,0,Coral,Class_0
Namorik airstrip,Marshall Islands,Marshall Islands,5.633309,168.126129,Unimproved,No,2900,0,Coral,Class_0
Aur airstrip,Marshall Islands,Marshall Islands,8.301954,171.1607981,Unimproved,No,2800,0,Grass,Class_0
Maloelap airstrip,Marshall Islands,Marshall Islands,8.708333,171.233337,Unimproved,No,2800,0,Turf,Class_0
LARBECO airstrip,Philippines,Sulu Archipelago,6.636614,122.1237702,Unimproved,No,2750,0,Grass,Class_0
Sagpangan airstrip,Philippines,Palawan Archipelago,9.510170361,118.5543115,Unimproved,No,2650,0,Grass,Class_0
Fuga Island Airstrip,Philippines,Babuyan Islands,18.8663313,121.2843633,Unimproved,No,2600,0,Grass,Class_0
Majkin airstrip,Marshall Islands,Marshall Islands,8.1633777,168.1744379,Unimproved,No,2500,0,Grass,Class_0
Ujae airstrip,Marshall Islands,Marshall Islands,8.9605982,165.7300376,Unimproved,No,2500,0,Grass,Class_0
Cagayancillo airstrip,Philippines,Sulu Archipelago,9.5694623,121.1866397,Unimproved,No,2500,0,Grass,Class_0
Utrik airstrip,Marshall Islands,Marshall Islands,11.2226114,169.8544701,Unimproved,No,2400,0,Coral,Class_0
Tumajubong airstrip,Philippines,Sulu Archipelago,6.4802861,122.0384632,Unimproved,No,2400,0,Grass,Class_0
Ailuk airstrip,Marshall Islands,Marshall Islands,10.2167104,169.982944,Unimproved,No,2150,0,Grass,Class_0
Jabot airstrip,Marshall Islands,Marshall Islands,7.7497432,168.9778793,Unimproved,No,2000,0,Grass,Class_0
Lae Atoll airstrip,Marshall Islands,Marshall Islands,8.9213133,166.2635507,Unimproved,No,1950,0,Grass,Class_0
Isugod airstrip,Philippines,Palawan Archipelago,9.3365165,118.1343436,Unimproved,No,1800,0,Grass,Class_0
Pagan airstrip,U.S.,Mariana Islands,18.1231296,145.7634662,Unimproved,No,1500,0,Turf/gravel,Class_0
Houk Airfield,Micronesia,Caroline Islands,6.673637042,149.2975611,Unimproved,No,1350,0,Concrete,Class_0
Mortlock Islands Airfield,Micronesia,Caroline Islands,5.285199887,153.6556584,Unimproved,No,1350,0,Concrete,Class_0
Woleai airstrip,Micronesia,Caroline Islands,7.376033569,143.9075449,Unimproved,No,1200,0,Asphalt,Class_0
Onoun Airfield,Micronesia,Caroline Islands,8.591543876,149.6891474,Unimproved,No,1200,0,Asphalt,Class_0
Sapwuahfik Airfield,Micronesia,Caroline Islands,5.783729027,157.1671524,Unimproved,No,1200,0,Concrete,Class_0
Mwoakilloa Airfield,Micronesia,Caroline Islands,6.678974176,159.760735,Unimproved,No,1200,0,Concrete,Class_0
Pingelap Airfield,Micronesia,Caroline Islands,6.211130793,160.7046109,Unimproved,No,1200,0,Concrete,Class_0
Tabuaeran airstrip,Kiribati,Line Islands,3.8994589,-159.3896303,Unimproved,No,1100,0,Coral,Class_0
