ID,latitude,longitude,runway_L,freq_count,airline_count,surface
RPNS,9.859100342,126.0139999,4167,0,0,3
NTKK,-15.48530006,-145.4700012,4150,0,0,3
RPMJ,6.05366993,121.0110016,4144,2,2,3
RPLU,13.85540009,120.1050034,4135,1,0,3
NWWM,-22.25830078,166.4730072,4101,7,2,3
RPUO,20.45129967,121.9800034,4101,3,0,3
NGTB,0.490833014,173.8289948,4081,1,0,1
NTHE,-14.42809963,-146.2570038,4068,1,0,3
NVVW,-19.45509911,169.223999,4035,3,0,3
NFTP,-15.97733784,-173.7910309,4000,0,0,2
NTMN,-9.768790245,-139.0110016,3986,4,0,3
MH-RNP,11.15719986,166.8869934,3950,0,0,3
NCAT,-19.96780014,-158.1190033,3947,1,0,2
RPMH,9.253520012,124.7070007,3945,0,0,3
NTGH,-17.54470062,-142.6139984,3937,0,0,3
NTGV,-14.86810017,-148.7169952,3937,1,0,3
NTGO,-17.3553009,-138.4450073,3937,0,0,3
NTGC,-15.1196003,-148.2310028,3937,1,0,3
NCMH,-10.3767004,-161.0019989,3937,0,0,1
AYMS,-10.6892004,152.8379974,3937,0,0,0
PG-IIS,-4.499720097,154.2259979,3937,0,0,0
RPUZ,16.61919975,121.2519989,3937,2,0,3
RPMF,8.195949554,126.3219986,3937,0,0,3
RPUR,15.72980022,121.5,3937,0,0,3
RPVS,10.76599979,121.9329987,3937,1,0,2
RP17,6.402279854,125.6190033,3937,0,0,3
RP15,10.91209984,124.4369965,3937,0,0,3
RPLA,12.98579979,121.4260025,3937,0,0,3
RPUS,16.59560013,120.3030014,3937,3,0,3
NFTL,-19.77700043,-174.3410034,3937,3,0,3
NFTO,-15.57079983,-175.6329956,3937,0,0,2
NVSZ,-14.88169956,166.5579987,3937,0,0,1
NTGB,-15.81989956,-140.8869934,3936,1,0,3
RPVW,11.67430019,125.4789963,3935,0,0,3
WIOM,3.348119974,106.2580032,3905,3,0,3
NTKF,-16.68670082,-145.3289948,3890,0,0,3
RPUQ,17.55529976,120.3560028,3890,1,0,3
NTGF,-16.05410004,-145.6569977,3871,2,0,3
NTTM,-17.48999977,-149.7619934,3871,4,0,3
NTGQ,-18.29560089,-137.0169983,3871,0,0,3
RCLY,22.02700043,121.5350037,3852,2,0,3
MH-JEJ,7.565350056,168.9620056,3800,0,0,1
PM64,28.38920021,-178.2969971,3800,0,0,2
PHUP,20.26530075,-155.8600006,3800,2,0,3
RPUD,14.12919998,122.9800034,3773,1,0,3
RCMT,26.2241993,120.0029984,3773,6,0,3
PHSF,19.76009941,-155.5540009,3695,9,0,3
AYKI,-6.125710011,141.2819977,3691,1,2,2
RPSM,10.18729973,124.7819977,3642,0,0,3
NWWK,-20.54630089,164.2559967,3616,2,2,3
NWWL,-20.77479935,167.2400055,3609,5,2,3
NWWV,-20.6406002,166.572998,3609,3,2,3
NWWU,-20.79000092,165.2590027,3609,3,2,3
NLWF,-14.31140041,-178.0659943,3609,1,0,3
AGGN,-8.097780228,156.8639984,3609,0,0,3
NWWE,-22.58889961,167.4559937,3608,5,2,3
PHHN,20.79560089,-156.0140076,3606,5,0,3
WAMH,3.683209896,125.5279999,3597,2,0,3
HI01,22.20919991,-159.4459991,3560,3,0,3
NTGK,-15.66329956,-146.8849945,3543,1,0,3
CGC,-5.458965302,148.4324188,3540,0,0,3
NFNL,-16.4666996,179.3399963,3521,2,0,3
NGTU,3.085829973,172.8110046,3500,0,0,3
MH-MAV,8.704440117,171.2299957,3500,0,0,0
NTKR,-14.45580006,-145.0249939,3452,1,0,3
PG-KDR,-6.265900135,149.5581055,3444,0,0,1
RPUG,16.03479958,120.2409973,3422,0,0,3
NTGW,-19.28499985,-138.7720032,3379,0,0,3
NGTE,-1.224470019,174.776001,3365,1,0,2
AYCH,-6.024290085,144.970993,3330,0,0,3
NFNS,-16.80279922,179.3410034,3300,0,0,3
RPVV,12.12150002,120.0999985,3300,0,4,3
YKUB,-10.22500038,142.2180023,3281,2,0,2
NFNM,-16.69059944,-179.8769989,3281,1,0,3
NWWD,-21.05430031,164.8370056,3281,2,2,3
NWWR,-21.4817009,168.0379944,3281,3,2,3
RP12,13.90019989,121.7440033,3281,0,0,3
AGGO,-7.416940212,155.5650024,3281,0,0,0
NVSE,-17.09029961,168.3430023,3281,0,0,1
PH-ENI,11.20199966,119.4169998,3280,0,0,3
RPVH,10.38000011,124.7429962,3280,0,0,1
RPLN,17.0656662,122.4276733,3280,0,0,2
NCMG,-21.89598656,-157.906662,3274,0,0,2
RCDI,24.85510063,121.237999,3260,2,0,3
RCGI,22.6739006,121.4660034,3255,3,0,3
NWWA,-21.09609985,167.8040009,3222,0,2,3
NSFQ,-14.21720028,-169.4250031,3190,1,0,3
RPMV,7.785560131,122.6019974,3150,0,0,3
NTTP,-16.42650032,-152.2440033,3135,3,0,3
NWWX,-21.52020073,165.9720001,3135,0,0,3
NTUV,-18.78000069,-138.8529968,3117,0,0,3
NGBR,-1.354719996,176.0070038,3117,0,0,1
RPVE,11.92450047,121.9540024,3117,3,4,3
NVSP,-16.07970047,167.401001,3117,0,0,1
NGTR,-2.616110086,176.8029938,3100,0,0,1
AGGA,-8.702569962,160.6820068,3100,0,0,1
NVVB,-19.23999977,169.6049957,3084,0,0,1
NTGI,-14.4368,-146.0700073,3051,2,0,3
NTGP,-14.80949974,-138.8130035,3051,0,0,3
RCWA,23.36737251,119.5027771,3051,1,0,3
NVVI,-18.85638809,169.2833405,3051,0,0,1
NGMK,2.058609962,173.2709961,3050,0,0,2
AYKM,-7.963610172,145.7709961,3044,2,0,3
NTGT,-14.70950031,-145.2460022,3018,2,0,3
PG-TFI,-9.075954437,149.3198395,3018,0,0,1
NTGE,-18.46590042,-136.4400024,3008,1,0,3
AGGS,-8.578889847,157.8760071,3002,0,0,1
NFKD,-19.05809975,178.1569977,3000,0,0,3
NGNU,-1.314440012,176.4100037,3000,0,0,1
NGON,-1.796110034,175.526001,3000,0,0,2
NGTM,-2.485830069,175.9700012,3000,0,0,0
MH-MJB,10.2833004,170.8690033,3000,0,0,1
FM-ULI,10.01980019,139.7899933,3000,0,0,3
PHHF,23.86940002,-166.2850037,3000,0,0,2
PHJH,20.96290016,-156.6730042,3000,3,5,3
AGGL,-10.72029972,165.7949982,2999,0,0,1
RPUI,15.32475567,119.9694977,2970,1,0,3
